IDMessage;Battery;Value;W/h;amps
0;B2;2.16;;
0;B3;2;;
0;B4;2.15;;
0;B5;2.03;;
;;;242.33;28.44
0;B0;2.76;;
0;B1;2.73;;
0;B2;2.8;;
0;B3;2.74;;
0;B4;2.82;;
0;B5;2.74;;
;;;244;0.72
0;B0;2.79;;
0;B1;2.76;;
0;B2;2.83;;
0;B3;2.79;;
0;B4;2.84;;
0;B5;2.76;;
;;;244;0
0;B0;2.81;;
0;B1;2.79;;
0;B2;2.86;;
0;B3;2.79;;
0;B4;2.86;;
0;B5;2.79;;
;;;244.15;0
0;B0;2.4;;
0;B1;2.3;;
0;B2;2.42;;
0;B3;2.29;;
0;B4;2.42;;
0;B5;2.3;;
;;;245.3;17.72
0;B0;2.79;;
0;B1;2.77;;
0;B2;2.84;;
0;B3;2.79;;
0;B4;2.84;;
0;B5;2.78;;
;;;246.76;0.78
0;B0;2.74;;
0;B1;2.71;;
0;B2;2.77;;
0;B3;2.72;;
0;B4;2.79;;
0;B5;2.72;;
;;;247.89;1.22
0;B0;2.07;;
0;B1;1.93;;
0;B2;2.07;;
0;B3;1.89;;
0;B4;2.07;;
0;B5;1.92;;
;;;248.59;28.32
0;B0;2.7;;
0;B1;2.67;;
0;B2;2.74;;
0;B3;2.68;;
0;B4;2.75;;
0;B5;2.68;;
;;;255.38;2.22
0;B0;2.26;;
0;B1;2.17;;
0;B2;2.27;;
0;B3;2.14;;
0;B4;2.26;;
0;B5;2.15;;
;;;257.14;22.77
0;B0;2.74;;
0;B1;2.71;;
0;B2;2.78;;
0;B3;2.75;;
0;B4;2.8;;
0;B5;2.73;;
;;;258.52;0.94
0;B0;2.26;;
0;B1;2.17;;
0;B2;2.3;;
0;B3;2.14;;
0;B4;2.28;;
0;B5;2.16;;
;;;258.96;21.16
0;B0;2.71;;
0;B1;2.68;;
0;B2;2.74;;
0;B3;2.71;;
0;B4;2.78;;
0;B5;2.69;;
;;;262.19;0.72
0;B0;2.69;;
0;B1;2.66;;
0;B2;2.73;;
0;B3;2.67;;
0;B4;2.74;;
0;B5;2.67;;
;;;263.01;2.16
0;B0;2.52;;
0;B1;2.44;;
0;B2;2.54;;
0;B3;2.45;;
0;B4;2.55;;
0;B5;2.45;;
;;;265.54;12.66
0;B0;2.72;;
0;B1;2.69;;
0;B2;2.75;;
0;B3;2.7;;
0;B4;2.77;;
0;B5;2.69;;
;;;265.94;1.22
0;B0;2.48;;
0;B1;2.42;;
0;B2;2.51;;
0;B3;2.4;;
0;B4;2.52;;
0;B5;2.4;;
;;;266.39;14.72
0;B0;2.67;;
0;B1;2.64;;
0;B2;2.71;;
0;B3;2.65;;
0;B4;2.73;;
0;B5;2.65;;
;;;268.74;1.55
0;B0;2.69;;
0;B1;2.66;;
0;B2;2.72;;
0;B3;2.66;;
0;B4;2.73;;
0;B5;2.67;;
;;;271.05;1
0;B0;2.53;;
0;B1;2.47;;
0;B2;2.55;;
0;B3;2.46;;
0;B4;2.56;;
0;B5;2.47;;
;;;271.53;10.55
0;B0;2.36;;
0;B1;2.3;;
0;B2;2.38;;
0;B3;2.25;;
0;B4;2.38;;
0;B5;2.25;;
;;;273.8;18.88
0;B0;2.74;;
0;B1;2.73;;
0;B2;2.78;;
0;B3;2.72;;
0;B4;2.8;;
0;B5;2.72;;
;;;275.6;0
0;B0;2.75;;
0;B1;2.74;;
0;B2;2.79;;
0;B3;2.75;;
0;B4;2.81;;
0;B5;2.73;;
;;;275.64;0.72
0;B0;2.25;;
0;B1;2.14;;
0;B2;2.26;;
0;B3;2.04;;
0;B4;2.26;;
0;B5;2.07;;
;;;278.52;20.1
0;B0;2.54;;
0;B1;2.5;;
0;B2;2.57;;
0;B3;2.5;;
0;B4;2.58;;
0;B5;2.48;;
;;;279;8.55
0;B0;2.72;;
0;B1;2.71;;
0;B2;2.77;;
0;B3;2.71;;
0;B4;2.78;;
0;B5;2.71;;
;;;281.7;0
0;B0;2.48;;
0;B1;2.42;;
0;B2;2.5;;
0;B3;2.4;;
0;B4;2.51;;
0;B5;2.41;;
;;;282.44;12.61
0;B0;2.69;;
0;B1;2.68;;
0;B2;2.74;;
0;B3;2.67;;
