IDMessage;Battery;Value;W/h;amps
0;B1;2.83;;
0;B2;2.87;;
0;B3;2.82;;
0;B4;2.86;;
0;B5;2.81;;
;;;379.67;0.00
0;B0;2.83;;
0;B1;2.84;;
0;B2;2.87;;
0;B3;2.83;;
0;B4;2.86;;
0;B5;2.81;;
;;;379.67;0.00
0;B0;2.83;;
0;B1;2.84;;
0;B2;2.89;;
0;B3;2.83;;
0;B4;2.86;;
0;B5;2.81;;
;;;379.67;0.00
0;B0;2.84;;
0;B1;2.85;;
0;B2;2.88;;
0;B3;2.83;;
0;B4;2.87;;
0;B5;2.82;;
;;;379.67;0.00
0;B0;2.84;;
0;B1;2.85;;
0;B2;2.89;;
0;B3;2.84;;
0;B4;2.87;;
0;B5;2.82;;
;;;379.67;0.00
0;B0;2.84;;
0;B1;2.85;;
0;B2;2.88;;
0;B3;2.83;;
0;B4;2.87;;
0;B5;2.82;;
;;;379.67;0.00
0;B0;2.84;;
0;B1;2.85;;
0;B2;2.89;;
0;B3;2.84;;
0;B4;2.87;;
0;B5;2.82;;
;;;379.67;0.00
0;B0;2.85;;
0;B1;2.86;;
0;B2;2.90;;
0;B3;2.84;;
0;B4;2.87;;
0;B5;2.82;;
;;;379.67;0.00
0;B0;2.85;;
0;B1;2.85;;
0;B2;2.90;;
0;B3;2.84;;
0;B4;2.88;;
0;B5;2.82;;
;;;379.67;0.00
0;B0;2.85;;
0;B1;2.85;;
0;B2;2.90;;
0;B3;2.85;;
0;B4;2.88;;
0;B5;2.82;;
;;;379.67;0.00
0;B0;2.77;;
0;B1;2.76;;
0;B2;2.83;;
0;B3;2.74;;
0;B4;2.79;;
0;B5;2.73;;
;;;379.87;3.53
0;B0;2.76;;
0;B1;2.77;;
0;B2;2.81;;
0;B3;2.75;;
0;B4;2.79;;
0;B5;2.72;;
;;;380.56;3.64
0;B0;2.77;;
0;B1;2.77;;
0;B2;2.81;;
0;B3;2.75;;
0;B4;2.80;;
0;B5;2.75;;
;;;380.97;2.70
0;B0;2.76;;
0;B1;2.77;;
0;B2;2.80;;
0;B3;2.75;;
0;B4;2.79;;
0;B5;2.74;;
;;;382.34;2.92
0;B0;2.75;;
0;B1;2.74;;
0;B2;2.76;;
0;B3;2.69;;
0;B4;2.75;;
0;B5;2.69;;
;;;383.02;2.86
0;B0;2.60;;
0;B1;2.58;;
0;B2;2.63;;
0;B3;2.54;;
0;B4;2.60;;
0;B5;2.54;;
;;;383.61;9.36
0;B0;2.64;;
0;B1;2.62;;
0;B2;2.68;;
0;B3;2.61;;
0;B4;2.65;;
0;B5;2.60;;
;;;384.95;6.36
0;B0;2.69;;
0;B1;2.69;;
0;B2;2.72;;
0;B3;2.66;;
0;B4;2.71;;
0;B5;2.66;;
;;;385.80;4.59
0;B0;2.63;;
0;B1;2.62;;
0;B2;2.67;;
0;B3;2.59;;
0;B4;2.65;;
0;B5;2.59;;
;;;386.70;7.47
0;B0;2.69;;
0;B1;2.68;;
0;B2;2.73;;
0;B3;2.68;;
0;B4;2.72;;
0;B5;2.64;;
;;;387.65;3.86
0;B0;2.72;;
0;B1;2.70;;
0;B2;2.76;;
0;B3;2.68;;
0;B4;2.73;;
0;B5;2.67;;
;;;388.54;3.31
0;B0;2.58;;
0;B1;2.52;;
0;B2;2.57;;
0;B3;2.50;;
0;B4;2.55;;
0;B5;2.50;;
;;;391.79;9.64
0;B0;2.34;;
0;B1;2.26;;
0;B2;2.34;;
0;B3;2.28;;
0;B4;2.33;;
0;B5;2.26;;
;;;394.57;16.64
0;B0;2.37;;
0;B1;2.33;;
0;B2;2.40;;
0;B3;2.31;;
0;B4;2.37;;
0;B5;2.32;;
;;;401.07;14.36
0;B0;2.70;;
0;B1;2.69;;
0;B2;2.73;;
0;B3;2.69;;
0;B4;2.72;;
0;B5;2.67;;
;;;402.65;0.00
0;B0;2.14;;
0;B1;2.08;;
0;B2;2.16;;
0;B3;2.04;;
0;B4;2.12;;
0;B5;2.05;;
;;;404.80;25.97
0;B0;2.07;;
0;B1;2.01;;
0;B2;2.09;;
0;B3;1.96;;
0;B4;2.04;;
0;B5;1.98;;
;;;409.29;24.97
0;B0;2.67;;
0;B1;2.66;;
0;B2;2.70;;
0;B3;2.66;;
0;B4;2.69;;
0;B5;2.64;;
;;;411.15;0.00
0;B0;2.70;;
0;B1;2.69;;
0;B2;2.74;;
0;B3;2.69;;
0;B4;2.73;;
0;B5;2.68;;
;;;411.55;0.00
0;B0;2.11;;
0;B1;2.06;;
0;B2;2.15;;
0;B3;2.03;;
0;B4;2.11;;
0;B5;2.04;;
;;;414.01;23.97
0;B0;2.28;;
0;B1;2.23;;
0;B2;2.30;;
0;B3;2.22;;
0;B4;2.28;;
0;B5;2.22;;
;;;419.00;20.25
0;B0;2.12;;
0;B1;2.05;;
0;B2;2.14;;
0;B3;2.03;;
0;B4;2.12;;
0;B5;2.04;;
;;;421.20;23.80
0;B0;1.90;;
0;B1;1.81;;
0;B2;1.91;;
0;B3;1.77;;
0;B4;1.85;;
0;B5;1.79;;
;;;426.00;32.30
0;B0;2.16;;
0;B1;2.10;;
0;B2;2.18;;
0;B3;2.08;;
0;B4;2.14;;
0;B5;2.08;;
;;;428.76;22.80
0;B0;2.00;;
0;B1;1.98;;
0;B2;2.07;;
0;B3;1.96;;
0;B4;2.03;;
0;B5;1.96;;
;;;430.74;25.69
0;B0;2.28;;
0;B1;2.22;;
0;B2;2.30;;
0;B3;2.23;;
0;B4;2.27;;
0;B5;2.22;;
;;;433.83;15.36
0;B0;2.59;;
0;B1;2.57;;
0;B2;2.62;;
0;B3;2.59;;
0;B4;2.62;;
0;B5;2.57;;
;;;437.25;0.00
0;B0;1.83;;
0;B1;1.74;;
0;B2;1.84;;
0;B3;1.68;;
0;B4;1.77;;
0;B5;1.71;;
;;;438.87;39.58
0;B0;1.92;;
0;B1;1.88;;
0;B2;1.97;;
0;B3;1.84;;
0;B4;1.93;;
0;B5;1.86;;
;;;443.28;27.47
0;B0;1.96;;
0;B1;1.88;;
0;B2;1.99;;
0;B3;1.86;;
0;B4;1.93;;
0;B5;1.87;;
;;;448.01;29.25
0;B0;2.58;;
0;B1;2.56;;
0;B2;2.63;;
0;B3;2.59;;
0;B4;2.61;;
0;B5;2.57;;
;;;455.11;0.00
0;B0;1.81;;
0;B1;1.72;;
0;B2;1.82;;
0;B3;1.67;;
0;B4;1.76;;
0;B5;1.69;;
;;;457.04;37.08
0;B0;1.94;;
0;B1;1.86;;
0;B2;1.96;;
0;B3;1.84;;
0;B4;1.91;;
0;B5;1.84;;
;;;461.90;26.97
0;B0;2.02;;
0;B1;1.94;;
0;B2;2.03;;
0;B3;1.92;;
0;B4;1.99;;
0;B5;1.93;;
;;;465.85;24.47
0;B0;2.60;;
0;B1;2.59;;
0;B2;2.63;;
0;B3;2.60;;
0;B4;2.63;;
0;B5;2.59;;
;;;467.71;0.00
0;B0;2.67;;
0;B1;2.65;;
0;B2;2.71;;
0;B3;2.67;;
0;B4;2.69;;
0;B5;2.65;;
;;;467.00;0.00
0;B0;2.63;;
0;B1;2.61;;
0;B2;2.66;;
0;B3;2.61;;
0;B4;2.64;;
0;B5;2.60;;
;;;467.84;2.98
0;B0;2.56;;
0;B1;2.53;;
0;B2;2.61;;
0;B3;2.56;;
0;B4;2.61;;
0;B5;2.53;;
;;;469.28;5.64
